Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,69;192,99273;194,38727;192,85921;194,52079;
Customers departed;192,26;191,66412;192,85588;191,55002;192,96998;
Customers in system;26,88925643981076;26,62256;27,15595;26,57149;27,20702;
Time in system;66,1212710914638;65,67767;66,56487;65,59273;66,64982;
Customers in system at the end;1,43;1,23694;1,62306;1,19998;1,66002;
Customers in check in queue;5,2442488965817935;5,05098;5,43751;5,01398;5,47452;
Time in check in queue;12,571405940673625;12,14689;12,99592;12,0656;13,07721;
Customers in payment queue;0,4839792375871259;0,4774;0,49056;0,47614;0,49182;
Time in payment in queue;1,209224569954243;1,19265;1,2258;1,18948;1,22897;
Customers in parking lot;1,3440263158016055;1,32429;1,36376;1,32052;1,36754;
Time in parking lot;2,8710660883788375;2,83086;2,91127;2,82316;2,91897;
Free clerks;5,641894890841272;5,62856;5,65523;5,626;5,65779;
Free mechanics group 1;2,9658847281447636;2,9293;3,00247;2,92229;3,00948;
Free mechanics group 2;1,4042397608450419;1,38257;1,42591;1,37842;1,43006;
Labour costs;47500
Number of replications;1000
