Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,146;192,42721;193,86479;192,28957;194,00243;
Customers departed;193,146;192,42721;193,86479;192,28957;194,00243;
Customers in system;21,380808990275014;21,29006;21,47156;21,27268;21,48894;
Time in system;53,11043244834451;53,04516;53,17571;53,03266;53,18821;
Customers in system at the end;0;0;0;0;0;
Customers in check in queue;0,8493152910256784;0,82686;0,87177;0,82256;0,87607;
Time in check in queue;2,0903672876288253;2,03957;2,14116;2,02985;2,15089;
Customers in payment queue;0,5066184668050011;0,4978;0,51544;0,49611;0,51713;
Time in payment in queue;1,257309358440628;1,23621;1,27841;1,23217;1,28245;
Customers in parking lot;0,12832429228734807;0,12134;0,13531;0,12;0,13665;
Time in parking lot;0,13754034537418952;0,1298;0,14528;0,12832;0,14676;
Free clerks;5,643863100320832;5,62975;5,65798;5,62705;5,66068;
Free mechanics group 1;10,02596974614594;9,98731;10,06463;9,97991;10,07203;
Free mechanics group 2;7,472794946200918;7,43876;7,50683;7,43224;7,51335;
Labour costs;71000
Number of replications;1000
