Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,936;193,22492;194,64708;193,08876;194,78324;
Customers departed;44,272;44,19488;44,34912;44,18011;44,36389;
Customers in system;92,87230231588524;92,42337;93,32124;92,3374;93,4072;
Time in system;221,763445308977;221,27797;222,24892;221,18501;222,34188;
Customers in system at the end;149,664;148,94917;150,37883;148,81228;150,51572;
Customers in check in queue;87,4662051789763;87,01647;87,91594;86,93035;88,00206;
Time in check in queue;188,4623870140576;187,96969;188,95508;187,87534;189,04943;
Customers in payment queue;0,5129033669266956;0,50923;0,51658;0,50853;0,51728;
Time in payment in queue;5,510633662857378;5,47076;5,55051;5,46312;5,55815;
Customers in parking lot;0,001510402511269832;0,00104;0,00198;0,00095;0,00207;
Time in parking lot;0,0053132576227186215;0,00363;0,007;0,0033;0,00732;
Free clerks;0,00016269683511817257;0,0001;0,00023;9E-05;0,00024;
Free mechanics group 1;7,966212067209246;7,95498;7,97745;7,95282;7,9796;
Free mechanics group 2;10,578473050469865;10,56634;10,5906;10,56402;10,59293;
Labour costs;43100
Number of replications;1000
