Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,51724;193,41537;193,61911;193,39586;193,63862;
Customers departed;192,15454;192,06582;192,24326;192,04884;192,26024;
Customers in system;26,759713415957552;26,72143;26,798;26,7141;26,80533;
Time in system;65,83615476907663;65,77319;65,89911;65,76114;65,91117;
Customers in system at the end;1,3627;1,33685;1,38855;1,33189;1,39351;
Customers in check in queue;5,162933387769799;5,13554;5,19032;5,1303;5,19557;
Time in check in queue;12,359215239713986;12,29914;12,41929;12,28764;12,43079;
Customers in payment queue;0,48424607257627506;0,48333;0,48517;0,48315;0,48534;
Time in payment in queue;1,2084864620369384;1,20624;1,21074;1,2058;1,21117;
Customers in parking lot;1,3081569134911102;1,30534;1,31097;1,30481;1,31151;
Time in parking lot;2,777487376550127;2,77173;2,78324;2,77063;2,78435;
Free clerks;5,642593613989906;5,64065;5,64454;5,64028;5,64491;
Free mechanics group 1;2,7100164120813517;2,7051;2,71493;2,70416;2,71587;
Free mechanics group 2;1,6706549051180228;1,66703;1,67428;1,66634;1,67497;
Labour costs;48000
Number of replications;50000
