Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,749;193,03984;194,45816;192,90405;194,59395;
Customers departed;131,572;131,42128;131,72272;131,39242;131,75158;
Customers in system;54,09741397646883;53,67426;54,52057;53,59323;54,6016;
Time in system;130,05298911104555;129,40583;130,70015;129,28191;130,82407;
Customers in system at the end;62,177;61,46774;62,88626;61,33192;63,02208;
Customers in check in queue;38,90372106764223;38,48113;39,32632;38,4002;39,40724;
Time in check in queue;87,31575154541541;86,62329;88,00822;86,49069;88,14082;
Customers in payment queue;0,6168886824809571;0,61365;0,62012;0,61303;0,62074;
Time in payment in queue;2,2309757363150413;2,21912;2,24283;2,21685;2,24511;
Customers in parking lot;0,28671595885550405;0,28176;0,29167;0,28081;0,29262;
Time in parking lot;0,3004457300656262;0,29525;0,30564;0,29426;0,30663;
Free clerks;0,035405060254911434;0,03391;0,0369;0,03362;0,03719;
Free mechanics group 1;3,5699330862730023;3,56047;3,5794;3,55866;3,58121;
Free mechanics group 2;7,221666800726687;7,20598;7,23735;7,20298;7,24035;
Labour costs;45300
Number of replications;1000
