Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;194,11;193,39;194,83;193,25213;194,96787;
Customers departed;171,502;171,21805;171,78595;171,16367;171,84033;
Customers in system;38,0098381582436;37,63095;38,38872;37,5584;38,46127;
Time in system;92,36850845289898;91,74267;92,99434;91,62283;93,11418;
Customers in system at the end;22,608;21,94136;23,27464;21,81371;23,40229;
Customers in check in queue;18,595554428352514;18,235;18,95611;18,16595;19,02516;
Time in check in queue;44,224412666515114;43,52675;44,92207;43,39316;45,05567;
Customers in payment queue;0,6166986601089325;0,61178;0,62162;0,61084;0,62256;
Time in payment in queue;1,7117411350484812;1,69886;1,72462;1,69639;1,72709;
Customers in parking lot;0,22278160958873755;0,21622;0,22935;0,21496;0,2306;
Time in parking lot;0,25132224445762946;0,24295;0,25969;0,24135;0,26129;
Free clerks;0,19084434393839408;0,18344;0,19825;0,18202;0,19967;
Free mechanics group 1;2,984476182416518;2,9709;2,99805;2,9683;3,00065;
Free mechanics group 2;4,374475608122258;4,3501;4,39885;4,34543;4,40352;
Labour costs;46400
Number of replications;1000
