Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,44334;193,34137;193,54531;193,32184;193,56484;
Customers departed;192,06424;191,97568;192,1528;191,95873;192,16975;
Customers in system;26,80100447350068;26,76257;26,83944;26,7552;26,8468;
Time in system;65,96153710728248;65,89834;66,02473;65,88624;66,03684;
Customers in system at the end;1,3791;1,35289;1,40531;1,34787;1,41033;
Customers in check in queue;5,217630707453901;5,19006;5,2452;5,18478;5,25048;
Time in check in queue;12,494626047568223;12,4342;12,55506;12,42262;12,56663;
Customers in payment queue;0,5022029354160766;0,50126;0,50315;0,50108;0,50333;
Time in payment in queue;1,2534985053125078;1,2512;1,2558;1,25076;1,25624;
Customers in parking lot;1,2807473514415213;1,27799;1,28351;1,27746;1,28404;
Time in parking lot;2,71975552536387;2,71412;2,72539;2,71304;2,72647;
Free clerks;4,705989748900687;4,70404;4,70793;4,70367;4,70831;
Free mechanics group 1;2,712503992857785;2,70759;2,71742;2,70664;2,71836;
Free mechanics group 2;1,6745017537826243;1,6709;1,67811;1,67021;1,6788;
Labour costs;46900
Number of replications;50000
