Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,818;193,10688;194,52912;192,97071;194,66529;
Customers departed;193,812;193,10105;194,52295;192,96492;194,65908;
Customers in system;22,2698694013749;22,14907;22,39066;22,12594;22,4138;
Time in system;55,0601931722088;54,92418;55,1962;54,89814;55,22225;
Customers in system at the end;0,006;0,00136;0,01064;0,00047;0,01153;
Customers in check in queue;1,410041817643497;1,35858;1,4615;1,34873;1,47136;
Time in check in queue;3,418994113238932;3,30405;3,53394;3,28204;3,55595;
Customers in payment queue;0,49980373648689436;0,49174;0,50787;0,49019;0,50942;
Time in payment in queue;1,23696306539631;1,21762;1,25631;1,21391;1,26001;
Customers in parking lot;0,4773658369545875;0,46335;0,49138;0,46067;0,49406;
Time in parking lot;0,7500034724874503;0,72789;0,77211;0,72366;0,77635;
Free clerks;5,631083655460925;5,61704;5,64513;5,61435;5,64782;
Free mechanics group 1;6,228358868849316;6,19561;6,26111;6,18934;6,26738;
Free mechanics group 2;3,715251032597439;3,68201;3,74849;3,67564;3,75486;
Labour costs;57500
Number of replications;1000
