Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,557;192,81645;194,29755;192,67464;194,43936;
Customers departed;148,425;148,25907;148,59093;148,2273;148,6227;
Customers in system;47,33025663811826;46,89604;47,76447;46,81289;47,84762;
Time in system;114,4240474709743;113,73733;115,11077;113,60583;115,24226;
Customers in system at the end;45,132;44,4039;45,8601;44,26448;45,99952;
Customers in check in queue;28,232091764114863;27,80388;28,66031;27,72188;28,7423;
Time in check in queue;64,2860738376295;63,54763;65,02452;63,40622;65,16593;
Customers in payment queue;0,3529193222042472;0,34867;0,35717;0,34786;0,35798;
Time in payment in queue;1,1362081212042265;1,12243;1,14998;1,1198;1,15262;
Customers in parking lot;2,4541941969576215;2,44605;2,46234;2,44449;2,4639;
Time in parking lot;7,098409098402689;7,07432;7,1225;7,06971;7,12711;
Free clerks;6,217112047766213;6,21299;6,22124;6,2122;6,22203;
Free mechanics group 1;0,584834739368229;0,57781;0,59186;0,57646;0,59321;
Free mechanics group 2;0,3443981035126285;0,34011;0,34869;0,33928;0,34951;
Labour costs;36000
Number of replications;1000
