Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,208;192,47573;193,94027;192,33551;194,08049;
Customers departed;191,504;190,8835;192,1245;190,76468;192,24332;
Customers in system;27,721604791264756;27,43117;28,01204;27,37555;28,06766;
Time in system;68,30749991714801;67,82073;68,79427;67,72752;68,88748;
Customers in system at the end;1,704;1,48989;1,91811;1,4489;1,9591;
Customers in check in queue;7,04513831971305;6,82134;7,26894;6,77848;7,31179;
Time in check in queue;16,97747539538605;16,4916;17,46335;16,39857;17,55639;
Customers in payment queue;0,3824272916124774;0,37791;0,38695;0,37704;0,38781;
Time in payment in queue;0,9511512686264463;0,94162;0,96068;0,9398;0,96251;
Customers in parking lot;0,4240115249007337;0,41752;0,4305;0,41628;0,43175;
Time in parking lot;0,8604643536130211;0,84782;0,87311;0,8454;0,87553;
Free clerks;0,9611298000465843;0,94733;0,97493;0,94469;0,97757;
Free mechanics group 1;2,787172715951798;2,76228;2,81206;2,75752;2,81683;
Free mechanics group 2;3,4939274796039315;3,45757;3,53029;3,4506;3,53725;
Labour costs;47500
Number of replications;1000
