Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,476;192,75277;194,19923;192,61428;194,33772;
Customers departed;174,046;173,8105;174,2815;173,7654;174,3266;
Customers in system;36,84474463828874;36,45892;37,23057;36,38504;37,30445;
Time in system;89,86754077948041;89,22931;90,50577;89,1071;90,62798;
Customers in system at the end;19,43;18,78922;20,07078;18,66652;20,19348;
Customers in check in queue;15,555389286290403;15,20167;15,90911;15,13393;15,97684;
Time in check in queue;37,11269822173325;36,41028;37,81511;36,27578;37,94962;
Customers in payment queue;0,4258711860764247;0,42097;0,43077;0,42003;0,43171;
Time in payment in queue;1,1695010781693458;1,15604;1,18296;1,15346;1,18554;
Customers in parking lot;2,0407800673129;2,02863;2,05293;2,02631;2,05525;
Time in parking lot;5,054886613728991;5,02658;5,08319;5,02116;5,08861;
Free clerks;5,775133390266711;5,76622;5,78404;5,76452;5,78575;
Free mechanics group 1;1,0341422329077712;1,01677;1,05152;1,01344;1,05485;
Free mechanics group 2;0,5731131004014227;0,56366;0,58257;0,56185;0,58438;
Labour costs;41000
Number of replications;1000
