Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,24629;156,1814;156,31118;156,16898;156,3236;
Customers departed;155,33198;155,27368;155,39028;155,26252;155,40144;
Customers in system;21,31050124836625;21,28791;21,33309;21,28358;21,33742;
Time in system;64,90260576298215;64,85806;64,94715;64,84953;64,95568;
Customers in system at the end;0,91431;0,90031;0,92831;0,89763;0,93099;
Customers in check in queue;3,622233603652616;3,60699;3,63748;3,60407;3,6404;
Time in check in queue;10,665792720316006;10,62484;10,70674;10,617;10,71458;
Customers in payment queue;0,41813693764298093;0,41753;0,41875;0,41741;0,41886;
Time in payment in queue;1,290242531034445;1,28841;1,29207;1,28806;1,29243;
Customers in parking lot;1,322608609076358;1,32032;1,3249;1,31988;1,32534;
Time in parking lot;3,428357272421576;3,42267;3,43404;3,42158;3,43513;
Free clerks;3,5480090910835766;3,54676;3,54926;3,54652;3,54949;
Free mechanics group 1;2,4543653687165587;2,451;2,45773;2,45036;2,45837;
Free mechanics group 2;1,3018258114050414;1,29968;1,30397;1,29927;1,30438;
Labour costs;37700
Number of replications;100000
