Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;192,943;192,23393;193,65207;192,09815;193,78785;
Customers departed;192,844;192,14477;193,54323;192,01087;193,67713;
Customers in system;24,382088487488378;24,19092;24,57326;24,15431;24,60986;
Time in system;60,39545781534326;60,1078;60,68311;60,05272;60,7382;
Customers in system at the end;0,099;0,05827;0,13973;0,05046;0,14754;
Customers in check in queue;3,2579773666630216;3,13958;3,37638;3,1169;3,39905;
Time in check in queue;7,878209795236447;7,61592;8,1405;7,56569;8,19073;
Customers in payment queue;0,6020219740663854;0,59364;0,61041;0,59203;0,61201;
Time in payment in queue;1,4954418627260988;1,47558;1,51531;1,47177;1,51911;
Customers in parking lot;0,7120659155062072;0,69634;0,72779;0,69333;0,7308;
Time in parking lot;1,3753775596252347;1,34586;1,40489;1,34021;1,41054;
Free clerks;2,833349066550938;2,81946;2,84724;2,8168;2,8499;
Free mechanics group 1;2,801156172148789;2,77768;2,82464;2,77318;2,82913;
Free mechanics group 2;3,470097173543342;3,43143;3,50877;3,42402;3,51617;
Labour costs;49700
Number of replications;1000
