Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,20351;156,13876;156,26826;156,12636;156,28066;
Customers departed;156,13616;156,07204;156,20028;156,05977;156,21255;
Customers in system;19,33717889151404;19,32148;19,35288;19,31847;19,35589;
Time in system;59,15033666350774;59,12313;59,17754;59,11792;59,18275;
Customers in system at the end;0,06735;0,06445;0,07025;0,06389;0,07081;
Customers in check in queue;2,1314764516342346;2,12268;2,14027;2,121;2,14195;
Time in check in queue;6,330997678281983;6,30732;6,35467;6,30279;6,35921;
Customers in payment queue;0,48190347567373254;0,48116;0,48265;0,48101;0,48279;
Time in payment in queue;1,4773150283129868;1,47514;1,47949;1,47473;1,4799;
Customers in parking lot;0,7374863273162255;0,73569;0,73929;0,73534;0,73963;
Time in parking lot;1,7149592396330908;1,7109;1,71901;1,71013;1,71979;
Free clerks;2,6076922009155052;2,60642;2,60897;2,60618;2,60921;
Free mechanics group 1;3,1153096588822367;3,11259;3,11803;3,11207;3,11855;
Free mechanics group 2;2,5007555808946074;2,49775;2,50376;2,49718;2,50433;
Labour costs;40600
Number of replications;100000
