Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,898;193,20579;194,59021;193,07324;194,72276;
Customers departed;193,811;193,12679;194,49521;192,99577;194,62623;
Customers in system;24,219210422822265;24,03788;24,40054;24,00315;24,43527;
Time in system;59,72124868381908;59,45068;59,99182;59,39887;60,04363;
Customers in system at the end;0,087;0,05521;0,11879;0,04912;0,12488;
Customers in check in queue;2,9839197788607743;2,87389;3,09395;2,85282;3,11502;
Time in check in queue;7,188897962199602;6,94442;7,43337;6,89761;7,48019;
Customers in payment queue;0,5475081179465309;0,53953;0,55548;0,53801;0,55701;
Time in payment in queue;1,353644140532652;1,33466;1,37263;1,33102;1,37626;
Customers in parking lot;0,7977489309032821;0,7809;0,8146;0,77767;0,81783;
Time in parking lot;1,5441511222530513;1,51256;1,57574;1,50651;1,58179;
Free clerks;3,753965137231647;3,74037;3,76756;3,73777;3,77017;
Free mechanics group 1;2,7780125260001562;2,75461;2,80141;2,75013;2,80589;
Free mechanics group 2;3,4160016158070907;3,37887;3,45313;3,37176;3,46024;
Labour costs;50800
Number of replications;1000
