Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,357;192,64246;194,07154;192,50563;194,20837;
Customers departed;193,355;192,6407;194,0693;192,50392;194,20608;
Customers in system;21,47351144273832;21,37897;21,56806;21,36086;21,58616;
Time in system;53,27047082926753;53,20009;53,34086;53,18661;53,35433;
Customers in system at the end;0,002;-0,00032;0,00432;-0,00077;0,00477;
Customers in check in queue;0,8910195883090881;0,86677;0,91527;0,86213;0,91991;
Time in check in queue;2,1855322220829647;2,13112;2,23994;2,12071;2,25036;
Customers in payment queue;0,5021061795573711;0,49368;0,51053;0,49207;0,51214;
Time in payment in queue;1,2433326346417246;1,2235;1,26317;1,2197;1,26697;
Customers in parking lot;0,18202902299793677;0,17374;0,19032;0,17216;0,1919;
Time in parking lot;0,20856097993748307;0,1987;0,21842;0,19681;0,22031;
Free clerks;5,641164191514823;5,62703;5,65529;5,62433;5,658;
Free mechanics group 1;9,243972188038487;9,20742;9,28052;9,20042;9,28752;
Free mechanics group 2;6,367199001099401;6,33295;6,40145;6,32639;6,40801;
Labour costs;67500
Number of replications;1000
