Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,437;192,71725;194,15675;192,57943;194,29457;
Customers departed;193,354;192,64219;194,06581;192,50589;194,20211;
Customers in system;23,414490225799312;23,24167;23,58731;23,20858;23,6204;
Time in system;57,88226834936955;57,63659;58,12795;57,58954;58,17499;
Customers in system at the end;0,083;0,04977;0,11623;0,0434;0,1226;
Customers in check in queue;2,296774599943431;2,19812;2,39543;2,17923;2,41432;
Time in check in queue;5,520261713219878;5,303;5,73753;5,26139;5,77913;
Customers in payment queue;0,49829943517659725;0,4909;0,50569;0,48949;0,50711;
Time in payment in queue;1,2361220049421409;1,21832;1,25392;1,21492;1,25733;
Customers in parking lot;0,7971219457393601;0,7779;0,81634;0,77422;0,82002;
Time in parking lot;1,4944079540513502;1,45948;1,52934;1,45279;1,53602;
Free clerks;5,637356720135514;5,62327;5,65144;5,62058;5,65414;
Free mechanics group 1;4,681815162712713;4,64654;4,71709;4,63978;4,72385;
Free mechanics group 2;2,489706000214728;2,46091;2,5185;2,45539;2,52402;
Labour costs;52500
Number of replications;1000
