Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,804;193,0562;194,5518;192,91301;194,69499;
Customers departed;88,485;88,37099;88,59901;88,34915;88,62085;
Customers in system;73,01100513668074;72,54501;73,477;72,45578;73,56623;
Time in system;173,73422389552113;173,13801;174,33044;173,02384;174,44461;
Customers in system at the end;105,319;104,57059;106,06741;104,42727;106,21073;
Customers in check in queue;62,695648732748374;62,22984;63,16146;62,14064;63,25065;
Time in check in queue;136,63441923393881;136,00264;137,2662;135,88166;137,38717;
Customers in payment queue;0,5300249534199973;0,52729;0,53276;0,52676;0,53329;
Time in payment in queue;2,8491940530377615;2,83393;2,86446;2,831;2,86738;
Customers in parking lot;0,11026239352650359;0,1072;0,11332;0,10661;0,11391;
Time in parking lot;0,17298382362991988;0,16819;0,17778;0,16727;0,1787;
Free clerks;0,007237912665063736;0,00677;0,00771;0,00668;0,0078;
Free mechanics group 1;4,826108607732589;4,81138;4,84084;4,80856;4,84366;
Free mechanics group 2;9,791694291031304;9,775;9,80839;9,77181;9,81158;
Labour costs;44200
Number of replications;1000
