Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,2695;156,17768;156,36132;156,1601;156,3789;
Customers departed;156,14486;156,05477;156,23495;156,03752;156,2522;
Customers in system;19,469376260050726;19,44428;19,49448;19,43947;19,49928;
Time in system;59,452804870352914;59,40651;59,4991;59,39765;59,50796;
Customers in system at the end;0,12464;0,1184;0,13088;0,1172;0,13208;
Customers in check in queue;2,6041379498243207;2,58832;2,61996;2,58529;2,62299;
Time in check in queue;7,6907766284899415;7,64822;7,73333;7,64007;7,74148;
Customers in payment queue;0,16581851163048159;0,16547;0,16617;0,1654;0,16624;
Time in payment in queue;0,5056446293174102;0,50471;0,50658;0,50453;0,50676;
Customers in parking lot;0,6960514500261353;0,69419;0,69791;0,69383;0,69827;
Time in parking lot;1,6370865784613473;1,63278;1,64139;1,63196;1,64221;
Free clerks;1,6692542821343017;1,66745;1,67106;1,66711;1,6714;
Free mechanics group 1;3,1296706443913735;3,12582;3,13353;3,12508;3,13426;
Free mechanics group 2;2,4824753129820283;2,47824;2,48671;2,47743;2,48752;
Labour costs;39500
Number of replications;50000
