Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,54566;193,44367;193,64765;193,42414;193,66718;
Customers departed;190,30286;190,22656;190,37916;190,21194;190,39378;
Customers in system;28,593298049950977;28,54974;28,63686;28,5414;28,6452;
Time in system;70,20232834225055;70,12893;70,27572;70,11488;70,28978;
Customers in system at the end;3,2428;3,20033;3,28527;3,1922;3,2934;
Customers in check in queue;6,891650749962908;6,85834;6,92497;6,85196;6,93134;
Time in check in queue;16,515758989977705;16,44305;16,58847;16,42913;16,60239;
Customers in payment queue;0,46334042479049203;0,46249;0,46419;0,46232;0,46436;
Time in payment in queue;1,1666025548307122;1,16448;1,16872;1,16408;1,16913;
Customers in parking lot;1,478647737972784;1,47606;1,48123;1,47557;1,48173;
Time in parking lot;3,246636441950618;3,24124;3,25204;3,2402;3,25307;
Free clerks;6,5874374656667225;6,58556;6,58931;6,58521;6,58967;
Free mechanics group 1;1,8942123754014422;1,88999;1,89843;1,88919;1,89924;
Free mechanics group 2;1,602859736759036;1,59915;1,60657;1,59844;1,60728;
Labour costs;48100
Number of replications;50000
