Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,598;192,88103;194,31497;192,74374;194,45226;
Customers departed;88,379;88,26483;88,49317;88,24296;88,51504;
Customers in system;72,83166435100716;72,38533;73,278;72,29986;73,36347;
Time in system;173,55807851620463;172,96233;174,15382;172,84826;174,2679;
Customers in system at the end;105,219;104,49703;105,94097;104,35878;106,07922;
Customers in check in queue;62,51305080930254;62,06625;62,95985;61,98069;63,04541;
Time in check in queue;136,4150010701645;135,7848;137,0452;135,66412;137,16588;
Customers in payment queue;0,5337847810049763;0,53111;0,53646;0,5306;0,53697;
Time in payment in queue;2,8717531751399177;2,8569;2,88661;2,85406;2,88945;
Customers in parking lot;0,10931232014413683;0,10629;0,11233;0,10571;0,11291;
Time in parking lot;0,17135817941675624;0,16664;0,17608;0,16573;0,17699;
Free clerks;0,007320365935801377;0,00684;0,0078;0,00675;0,00789;
Free mechanics group 1;4,801269538741994;4,78663;4,8159;4,78383;4,81871;
Free mechanics group 2;9,81664729134991;9,8001;9,8332;9,79693;9,83637;
Labour costs;44200
Number of replications;1000
