Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;194,298;193,59149;195,00451;193,4562;195,1398;
Customers departed;194,026;193,34258;194,70942;193,21171;194,84029;
Customers in system;25,525607117982766;25,30773;25,74348;25,26601;25,7852;
Time in system;62,7279394807711;62,39177;63,06411;62,32739;63,12849;
Customers in system at the end;0,272;0,20502;0,33898;0,19219;0,35181;
Customers in check in queue;4,2459409523771;4,09841;4,39348;4,07015;4,42173;
Time in check in queue;10,190792063097538;9,86957;10,51201;9,80806;10,57352;
Customers in payment queue;0,7077025053043409;0,69846;0,71695;0,69669;0,71872;
Time in payment in queue;1,7445461968380622;1,72342;1,76568;1,71937;1,76972;
Customers in parking lot;0,5954458940548039;0,58314;0,60775;0,58078;0,61011;
Time in parking lot;1,1620238144661112;1,13866;1,18539;1,13418;1,18986;
Free clerks;1,8691036044681506;1,85519;1,88302;1,85252;1,88569;
Free mechanics group 1;2,749382672582924;2,72538;2,77339;2,72078;2,77798;
Free mechanics group 2;3,4127014995516234;3,37518;3,45022;3,36799;3,45741;
Labour costs;48600
Number of replications;1000
