Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,89;193,17394;194,60606;193,03683;194,74317;
Customers departed;193,676;192,97824;194,37376;192,84463;194,50737;
Customers in system;24,341787763872453;24,13855;24,54502;24,09964;24,58394;
Time in system;59,96070531554065;59,65347;60,26794;59,59464;60,32677;
Customers in system at the end;0,214;0,16587;0,26213;0,15665;0,27135;
Customers in check in queue;3,0278500404299686;2,90096;3,15474;2,87666;3,17904;
Time in check in queue;7,244912256021118;6,96793;7,52189;6,9149;7,57493;
Customers in payment queue;0,4952243054842413;0,48807;0,50238;0,4867;0,50375;
Time in payment in queue;1,2259517739007961;1,2088;1,2431;1,20552;1,24638;
Customers in parking lot;0,9470565644316654;0,92728;0,96684;0,92349;0,97063;
Time in parking lot;1,8606774247180882;1,82267;1,89868;1,8154;1,90596;
Free clerks;5,626892536885992;5,61281;5,64097;5,61012;5,64367;
Free mechanics group 1;3,9894107212267933;3,95437;4,02445;3,94766;4,03117;
Free mechanics group 2;2,206688191244236;2,17854;2,23483;2,17315;2,24022;
Labour costs;51000
Number of replications;1000
