Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,829;193,12837;194,52963;192,99421;194,66379;
Customers departed;191,185;190,58852;191,78148;190,4743;191,8957;
Customers in system;28,383115999997738;28,09899;28,66725;28,04458;28,72165;
Time in system;69,71613476589734;69,23248;70,19979;69,13987;70,2924;
Customers in system at the end;2,644;2,35584;2,93216;2,30066;2,98734;
Customers in check in queue;7,7309791130581385;7,50234;7,95962;7,45856;8,0034;
Time in check in queue;18,659879352755045;18,16172;19,15804;18,06633;19,25343;
Customers in payment queue;0,362365594140079;0,3576;0,36713;0,35669;0,36804;
Time in payment in queue;0,9016567867398061;0,89135;0,91196;0,88938;0,91393;
Customers in parking lot;0,41677796501612807;0,40986;0,42369;0,40854;0,42502;
Time in parking lot;0,8112717233168887;0,79717;0,82537;0,79447;0,82807;
Free clerks;0,9550330808240761;0,94189;0,96818;0,93937;0,97069;
Free mechanics group 1;2,7868737611969694;2,76244;2,81131;2,75776;2,81598;
Free mechanics group 2;3,4855325133732333;3,45084;3,52022;3,4442;3,52686;
Labour costs;47500
Number of replications;1000
