Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,51418;193,41181;193,61655;193,39221;193,63615;
Customers departed;193,04464;192,94786;193,14142;192,92933;193,15995;
Customers in system;25,239255387133564;25,20629;25,27222;25,19998;25,27853;
Time in system;62,208486706833064;62,15642;62,26055;62,14645;62,27052;
Customers in system at the end;0,46954;0,45531;0,48377;0,45258;0,4865;
Customers in check in queue;3,8359828093127772;3,81408;3,85789;3,80988;3,86208;
Time in check in queue;9,179426529753966;9,13135;9,2275;9,12215;9,2367;
Customers in payment queue;0,49237468904113624;0,49139;0,49336;0,49121;0,49354;
Time in payment in queue;1,2234492513450665;1,22107;1,22583;1,22062;1,22628;
Customers in parking lot;1,0885604644826827;1,08572;1,0914;1,08518;1,09194;
Time in parking lot;2,214480716358904;2,20886;2,2201;2,20779;2,22117;
Free clerks;5,638552421206451;5,63656;5,64055;5,63618;5,64093;
Free mechanics group 1;3,0657672837553296;3,06118;3,07035;3,06031;3,07123;
Free mechanics group 2;2,2314518192658364;2,22719;2,23571;2,22638;2,23653;
Labour costs;50000
Number of replications;50000
