Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,308;192,60901;194,00699;192,47517;194,14083;
Customers departed;193,132;192,44948;193,81452;192,31878;193,94522;
Customers in system;25,091829260856553;24,89075;25,29291;24,85225;25,33141;
Time in system;62,026070301223946;61,71444;62,3377;61,65476;62,39738;
Customers in system at the end;0,176;0,12313;0,22887;0,113;0,239;
Customers in check in queue;3,9349640441193836;3,8025;4,06743;3,77713;4,0928;
Time in check in queue;9,520814030020928;9,22748;9,81415;9,17131;9,87032;
Customers in payment queue;0,7050547161463928;0,69587;0,71424;0,69411;0,716;
Time in payment in queue;1,7472455894135277;1,72599;1,7685;1,72192;1,77257;
Customers in parking lot;0,589381110661813;0,577;0,60177;0,57463;0,60414;
Time in parking lot;1,1503101262157431;1,12699;1,17363;1,12252;1,1781;
Free clerks;1,8930594860479035;1,8794;1,90672;1,87678;1,90934;
Free mechanics group 1;2,791578847136438;2,76809;2,81507;2,76359;2,81957;
Free mechanics group 2;3,4596524945469707;3,42202;3,49728;3,41482;3,50449;
Labour costs;48600
Number of replications;1000
