Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,28477;156,22003;156,34951;156,20763;156,36191;
Customers departed;156,22596;156,16177;156,29015;156,14948;156,30244;
Customers in system;19,150023729102216;19,1346;19,16545;19,13165;19,1684;
Time in system;58,55304710089717;58,52645;58,57964;58,52136;58,58474;
Customers in system at the end;0,05881;0,05623;0,06139;0,05574;0,06188;
Customers in check in queue;1,931530576336342;1,92312;1,93994;1,92151;1,94155;
Time in check in queue;5,725298266754636;5,70259;5,74801;5,69824;5,75236;
Customers in payment queue;0,43384625128804816;0,43315;0,43454;0,43302;0,43468;
Time in payment in queue;1,3308967129002864;1,32884;1,33295;1,32845;1,33335;
Customers in parking lot;0,8065711381732777;0,80459;0,80855;0,80421;0,80893;
Time in parking lot;1,8710865733337116;1,86663;1,87555;1,86577;1,8764;
Free clerks;3,543987596183988;3,54271;3,54526;3,54247;3,54551;
Free mechanics group 1;3,1121797395017405;3,10946;3,1149;3,10894;3,11542;
Free mechanics group 2;2,4970592173539243;2,49405;2,50007;2,49348;2,50064;
Labour costs;41700
Number of replications;100000
