Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,23021;156,16539;156,29503;156,15298;156,30744;
Customers departed;156,14323;156,0792;156,20726;156,06694;156,21952;
Customers in system;19,38507382096774;19,36921;19,40093;19,36618;19,40397;
Time in system;59,28049694177051;59,25297;59,30802;59,2477;59,31329;
Customers in system at the end;0,08698;0,08372;0,09024;0,08309;0,09087;
Customers in check in queue;2,1474951016253168;2,13859;2,1564;2,13689;2,1581;
Time in check in queue;6,375063393885252;6,35114;6,39899;6,34655;6,40357;
Customers in payment queue;0,482152746684062;0,48141;0,4829;0,48126;0,48304;
Time in payment in queue;1,4782989899231715;1,47613;1,48047;1,47572;1,48088;
Customers in parking lot;0,7678371852267093;0,76598;0,76969;0,76563;0,77004;
Time in parking lot;1,8020333005777636;1,79782;1,80625;1,79701;1,80705;
Free clerks;2,6074866527813803;2,60621;2,60876;2,60597;2,609;
Free mechanics group 1;3,462263667913944;3,4592;3,46533;3,45861;3,46592;
Free mechanics group 2;2,151246686942244;2,14856;2,15393;2,14805;2,15445;
Labour costs;40100
Number of replications;100000
