Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,307;192,56045;194,05355;192,4175;194,1965;
Customers departed;193,303;192,55656;194,04944;192,41363;194,19237;
Customers in system;21,785910750271015;21,67812;21,8937;21,65748;21,91434;
Time in system;54,03692920585545;53,93802;54,13584;53,91908;54,15478;
Customers in system at the end;0,004;-0,0012;0,0092;-0,00219;0,01019;
Customers in check in queue;1,1078041099147453;1,07214;1,14347;1,06531;1,1503;
Time in check in queue;2,7060087148208067;2,62521;2,78681;2,60973;2,80228;
Customers in payment queue;0,50943099933613;0,50154;0,51732;0,50003;0,51884;
Time in payment in queue;1,2632623739448174;1,24455;1,28198;1,24096;1,28556;
Customers in parking lot;0,3365895906209015;0,32535;0,34783;0,3232;0,34998;
Time in parking lot;0,46093801290299946;0,44552;0,47636;0,44257;0,47931;
Free clerks;5,642210382404269;5,62749;5,65693;5,62468;5,65974;
Free mechanics group 1;7,06080878100769;7,02787;7,09375;7,02156;7,10006;
Free mechanics group 2;4,818347004665041;4,78157;4,85512;4,77453;4,86217;
Labour costs;61000
Number of replications;1000
