Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,5695;193,4672;193,6718;193,44761;193,69139;
Customers departed;186,63766;186,57792;186,6974;186,56647;186,70885;
Customers in system;31,012016539738454;30,96376;31,06027;30,95453;31,06951;
Time in system;75,96853111240986;75,88651;76,05055;75,8708;76,06626;
Customers in system at the end;6,93184;6,86957;6,99411;6,85764;7,00604;
Customers in check in queue;9,257693400419637;9,21828;9,2971;9,21074;9,30465;
Time in check in queue;22,223450407819204;22,13865;22,30825;22,12242;22,32449;
Customers in payment queue;0,46001513547720474;0,45921;0,46082;0,45906;0,46097;
Time in payment in queue;1,1793786092019003;1,17734;1,18142;1,17695;1,18181;
Customers in parking lot;1,6690333378768043;1,66673;1,67133;1,66629;1,67177;
Time in parking lot;3,81072525514949;3,80579;3,81566;3,80485;3,8166;
Free clerks;5,6684438059034745;5,66669;5,67019;5,66636;5,67053;
Free mechanics group 1;1,552275520644779;1,54834;1,55621;1,54758;1,55697;
Free mechanics group 2;1,154828211760528;1,15194;1,15772;1,15138;1,15827;
Labour costs;45000
Number of replications;50000
