Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,398;192,67706;194,11894;192,539;194,257;
Customers departed;189,929;189,39379;190,46421;189,2913;190,5667;
Customers in system;28,755085628349885;28,44732;29,06285;28,38839;29,12178;
Time in system;70,63994168226304;70,12309;71,15679;70,02412;71,25577;
Customers in system at the end;3,469;3,16424;3,77376;3,10588;3,83212;
Customers in check in queue;7,01942688792571;6,78434;7,25451;6,73932;7,29953;
Time in check in queue;16,83999653527876;16,32649;17,3535;16,22816;17,45183;
Customers in payment queue;0,47231858175885;0,4662;0,47844;0,46503;0,47961;
Time in payment in queue;1,1911817608431485;1,17596;1,2064;1,17304;1,20932;
Customers in parking lot;1,532452784459989;1,51419;1,55071;1,5107;1,55421;
Time in parking lot;3,379543343546003;3,34111;3,41798;3,33375;3,42534;
Free clerks;5,655414893276053;5,64224;5,66859;5,63972;5,67111;
Free mechanics group 1;2,3262964954697334;2,29072;2,36187;2,28391;2,36868;
Free mechanics group 2;1,1925270936285488;1,17184;1,21321;1,16788;1,21717;
Labour costs;46000
Number of replications;1000
