Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;194,033;193,3082;194,7578;193,16941;194,89659;
Customers departed;194,029;193,30445;194,75355;193,1657;194,8923;
Customers in system;21,596933062634562;21,50203;21,69184;21,48386;21,71001;
Time in system;53,39291691730169;53,31891;53,46692;53,30474;53,4811;
Customers in system at the end;0,004;-2E-05;0,00802;-0,00079;0,00879;
Customers in check in queue;0,9312998398405086;0,90639;0,95621;0,90162;0,96098;
Time in check in queue;2,279918843589486;2,22284;2,33699;2,21192;2,34792;
Customers in payment queue;0,5054357527847241;0,49691;0,51396;0,49528;0,5156;
Time in payment in queue;1,2475606011368614;1,22747;1,26765;1,22363;1,27149;
Customers in parking lot;0,20742330934585285;0,19907;0,21577;0,19748;0,21737;
Time in parking lot;0,24399927360610155;0,23399;0,25401;0,23207;0,25593;
Free clerks;5,626266594315343;5,61185;5,64068;5,60909;5,64344;
Free mechanics group 1;8,490681839146383;8,45587;8,52549;8,44921;8,53216;
Free mechanics group 2;6,13437485219921;6,09822;6,17052;6,0913;6,17745;
Labour costs;66000
Number of replications;1000
