Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,647;192,92799;194,36601;192,79031;194,50369;
Customers departed;192,996;192,24918;193,74282;192,10617;193,88583;
Customers in system;24,583340854766554;24,36808;24,7986;24,32686;24,83982;
Time in system;60,617310587455535;60,25782;60,9768;60,18898;61,04564;
Customers in system at the end;0,651;0,39741;0,90459;0,34885;0,95315;
Customers in check in queue;3,391933963872523;3,22554;3,55833;3,19368;3,59019;
Time in check in queue;8,12796711914805;7,7667;8,48924;7,69752;8,55842;
Customers in payment queue;0,5485013804754038;0,54076;0,55624;0,53928;0,55772;
Time in payment in queue;1,3610279749563001;1,34274;1,37932;1,33923;1,38282;
Customers in parking lot;0,8230983672299993;0,80545;0,84075;0,80207;0,84413;
Time in parking lot;1,6118684454265484;1,5736;1,65014;1,56627;1,65747;
Free clerks;3,769131103500531;3,75462;3,78364;3,75184;3,78642;
Free mechanics group 1;2,7605119320945604;2,73575;2,78527;2,73101;2,79002;
Free mechanics group 2;3,487222290825165;3,44306;3,53139;3,4346;3,53984;
Labour costs;50800
Number of replications;1000
