Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,22485897685274;156,02283;156,42689;155,98414;156,46557;
Customers departed;154,69305582571485;154,47315;154,91296;154,43104;154,95507;
Customers in system;17,705566837132583;17,67417;17,73696;17,66816;17,74297;
Time in system;53,19629808309404;53,15537;53,23722;53,14754;53,24506;
Customers in system at the end;1,5318031511379109;1,46555;1,59806;1,45286;1,61074;
Customers in check in queue;0,752913022628556;0,73473;0,77109;0,73125;0,77458;
Time in check in queue;1,7026158084369296;1,67574;1,72949;1,6706;1,73463;
Customers in payment queue;0,35894547393491777;0,35694;0,36095;0,35656;0,36133;
Time in payment in queue;1,1104530192142519;1,10457;1,11634;1,10344;1,11746;
Customers in parking lot;0,5964341985753387;0,58095;0,61192;0,57799;0,61488;
Time in parking lot;1,4492743411039959;1,40703;1,49152;1,39894;1,49961;
Free clerks;37,50410002692529;37,49973;37,50847;37,4989;37,5093;
Free mechanics group 1;26,044770616688535;25,99919;26,09035;25,99046;26,09908;
Free mechanics group 2;15,098309543474006;15,05981;15,13681;15,05244;15,14418;
Labour costs;230000
Number of replications;20000
