Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,541;192,82791;194,25409;192,69136;194,39064;
Customers departed;192,852;192,12111;193,58289;191,98116;193,72284;
Customers in system;24,397768155983375;24,18525;24,61028;24,14456;24,65098;
Time in system;60,199898013572664;59,84412;60,55567;59,776;60,6238;
Customers in system at the end;0,689;0,47625;0,90175;0,43551;0,94249;
Customers in check in queue;3,2012793666427855;3,046;3,35656;3,01627;3,38629;
Time in check in queue;7,681805566501233;7,33277;8,03084;7,26593;8,09768;
Customers in payment queue;0,49513890471886146;0,48771;0,50257;0,48629;0,50399;
Time in payment in queue;1,2305283746857782;1,21269;1,24837;1,20927;1,25179;
Customers in parking lot;0,9024566681872009;0,88345;0,92146;0,87981;0,9251;
Time in parking lot;1,7650200412191677;1,7247;1,80534;1,71697;1,81307;
Free clerks;5,640831968404846;5,62655;5,65511;5,62382;5,65784;
Free mechanics group 1;2,771191437951642;2,74564;2,79675;2,74074;2,80164;
Free mechanics group 2;3,4844273597933597;3,442;3,52685;3,43388;3,53498;
Labour costs;53000
Number of replications;1000
