Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,473;192,75796;194,18804;192,62104;194,32496;
Customers departed;44,271;44,19218;44,34982;44,17709;44,36491;
Customers in system;92,63884030429847;92,19688;93,0808;92,11225;93,16543;
Time in system;221,9760493267323;221,4875;222,4646;221,39395;222,55815;
Customers in system at the end;149,202;148,4835;149,9205;148,34591;150,05809;
Customers in check in queue;87,23828173022551;86,79583;87,68074;86,7111;87,76546;
Time in check in queue;188,66577670594117;188,16716;189,16439;188,07168;189,25987;
Customers in payment queue;0,509763766141482;0,50605;0,51348;0,50534;0,51419;
Time in payment in queue;5,478457182458457;5,43866;5,51826;5,43104;5,52588;
Customers in parking lot;0,001345152517279252;0,00095;0,00174;0,00088;0,00181;
Time in parking lot;0,00476195005186382;0,00335;0,00618;0,00308;0,00645;
Free clerks;0,0001998908802259619;0,00013;0,00027;0,00012;0,00028;
Free mechanics group 1;7,955665060440123;7,94391;7,96742;7,94166;7,96967;
Free mechanics group 2;10,591310228250334;10,579;10,60362;10,57664;10,60598;
Labour costs;43100
Number of replications;1000
