Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,4722;193,32855;193,61585;193,30104;193,64336;
Customers departed;193,05444;192,91041;193,19847;192,88282;193,22606;
Customers in system;24,75284394771107;24,71076;24,79492;24,70271;24,80298;
Time in system;61,097578062930396;61,03052;61,16464;61,01768;61,17748;
Customers in system at the end;0,41776;0,38628;0,44924;0,38025;0,45527;
Customers in check in queue;3,526602821937411;3,49749;3,55571;3,49192;3,56129;
Time in check in queue;8,480534635336436;8,41599;8,54508;8,40363;8,55743;
Customers in payment queue;0,5992587770720791;0,5976;0,60091;0,59729;0,60123;
Time in payment in queue;1,4861542864233035;1,48228;1,49003;1,48153;1,49078;
Customers in parking lot;0,793726004483052;0,79032;0,79713;0,78967;0,79778;
Time in parking lot;1,5635699324381551;1,55669;1,57045;1,55538;1,57176;
Free clerks;2,827790090226942;2,82495;2,83063;2,82441;2,83117;
Free mechanics group 1;3,678209214589739;3,67169;3,68473;3,67044;3,68598;
Free mechanics group 2;2,5709551980776313;2,56436;2,57755;2,5631;2,57881;
Labour costs;48200
Number of replications;25000
