Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,2313296903461;155,63332;156,82934;155,51881;156,94385;
Customers departed;141,11293260473587;140,54009;141,68577;140,4304;141,79547;
Customers in system;21,807433616020912;21,69658;21,91829;21,67535;21,93951;
Time in system;51,02773992891024;50,99207;51,06341;50,98524;51,07024;
Customers in system at the end;15,1183970856102;14,92268;15,31412;14,8852;15,3516;
Customers in check in queue;4,046229899154597;3,95979;4,13267;3,94324;4,14922;
Time in check in queue;1,2919930183445516;1,26968;1,31431;1,26541;1,31858;
Customers in payment queue;0,36096033558049184;0,35473;0,36719;0,35354;0,36838;
Time in payment in queue;1,2274328756181194;1,20674;1,24813;1,20277;1,25209;
Customers in parking lot;0,7041589459768878;0,6871;0,72122;0,68384;0,72448;
Time in parking lot;0,024974965837737353;0,02136;0,02859;0,02066;0,02929;
Free clerks;50,35024145107255;50,3349;50,36558;50,33197;50,36852;
Free mechanics group 1;43,07748110497026;43,03054;43,12442;43,02156;43,13341;
Free mechanics group 2;25,02888646154457;24,99634;25,06143;24,99011;25,06767;
Labour costs;460000
Number of replications;20000
