Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,483;192,74771;194,21829;192,60691;194,35909;
Customers departed;193,073;192,34712;193,79888;192,20812;193,93788;
Customers in system;24,277867226974376;24,07026;24,48548;24,0305;24,52523;
Time in system;59,92506137763566;59,59732;60,2528;59,53456;60,31556;
Customers in system at the end;0,41;0,26966;0,55034;0,24279;0,57721;
Customers in check in queue;3,091083586549017;2,95281;3,22936;2,92633;3,25584;
Time in check in queue;7,417035727249392;7,10785;7,72622;7,04864;7,78543;
Customers in payment queue;0,4794588903543726;0,4722;0,48671;0,47082;0,4881;
Time in payment in queue;1,1919199167242047;1,17424;1,2096;1,17086;1,21298;
Customers in parking lot;0,8916747248346787;0,87287;0,91048;0,86927;0,91408;
Time in parking lot;1,7434938832328994;1,70592;1,78107;1,69872;1,78827;
Free clerks;6,576460559500926;6,56205;6,59087;6,55929;6,59363;
Free mechanics group 1;2,756915966941777;2,73097;2,78286;2,726;2,78783;
Free mechanics group 2;3,4882877245303585;3,4461;3,53047;3,43802;3,53855;
Labour costs;54100
Number of replications;1000
