Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,362;192,65071;194,07329;192,5145;194,2095;
Customers departed;193,219;192,52288;193,91512;192,38959;194,04841;
Customers in system;23,926747698978772;23,73537;24,11812;23,69872;24,15477;
Time in system;59,122140123965764;58,83736;59,40692;58,78282;59,46146;
Customers in system at the end;0,143;0,08918;0,19682;0,07887;0,20713;
Customers in check in queue;2,777988260112684;2,66156;2,89442;2,63926;2,91672;
Time in check in queue;6,665997474550358;6,40912;6,92287;6,35994;6,97206;
Customers in payment queue;0,45484583058458633;0,4482;0,46149;0,44692;0,46277;
Time in payment in queue;1,1306171367499747;1,11435;1,14689;1,11123;1,15;
Customers in parking lot;0,8841400339359702;0,8654;0,90288;0,86181;0,90647;
Time in parking lot;1,703809644880583;1,66841;1,73921;1,66163;1,74599;
Free clerks;10,330528284215083;10,31646;10,34459;10,31377;10,34729;
Free mechanics group 1;2,7880884676101805;2,76436;2,81181;2,75982;2,81636;
Free mechanics group 2;3,4507791123298373;3,41249;3,48907;3,40516;3,4964;
Labour costs;58500
Number of replications;1000
