Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,758;193,06663;194,44937;192,93424;194,58176;
Customers departed;193,466;192,77042;194,16158;192,63723;194,29477;
Customers in system;24,647587796440554;24,44861;24,84656;24,41051;24,88467;
Time in system;60,79184225748975;60,47399;61,1097;60,41312;61,17056;
Customers in system at the end;0,292;0,17055;0,41345;0,14729;0,43671;
Customers in check in queue;3,421598268750862;3,28702;3,55617;3,26126;3,58194;
Time in check in queue;8,245339491886682;7,94263;8,54805;7,88466;8,60602;
Customers in payment queue;0,6084027260181647;0,60036;0,61645;0,59882;0,61799;
Time in payment in queue;1,5064886471398065;1,48756;1,52542;1,48394;1,52904;
Customers in parking lot;0,7434152455236909;0,72749;0,75934;0,72444;0,76239;
Time in parking lot;1,440768407447906;1,40919;1,47234;1,40315;1,47839;
Free clerks;2,8210923582407124;2,80733;2,83486;2,80469;2,83749;
Free mechanics group 1;2,774516175572645;2,75056;2,79847;2,74597;2,80306;
Free mechanics group 2;3,4401918115751897;3,40114;3,47924;3,39366;3,48672;
Labour costs;49700
Number of replications;1000
