Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,338;192,59701;194,07899;192,45512;194,22088;
Customers departed;171,434;171,16058;171,70742;171,10822;171,75978;
Customers in system;37,56015717363798;37,17367;37,94665;37,09966;38,02066;
Time in system;91,64697208810611;91,01781;92,27614;90,89733;92,39661;
Customers in system at the end;21,904;21,22276;22,58524;21,09231;22,71569;
Customers in check in queue;18,156817400400374;17,79022;18,52342;17,72002;18,59362;
Time in check in queue;43,31813489074573;42,61688;44,01939;42,4826;44,15367;
Customers in payment queue;0,6162261610665289;0,61146;0,62099;0,61055;0,6219;
Time in payment in queue;1,711953564073472;1,69953;1,72438;1,69715;1,72675;
Customers in parking lot;0,2264353554829273;0,22017;0,2327;0,21897;0,2339;
Time in parking lot;0,24805573104874504;0,24216;0,25396;0,24103;0,25509;
Free clerks;0,19565038613791708;0,18827;0,20303;0,18686;0,20444;
Free mechanics group 1;2,9984570707916265;2,98513;3,01179;2,98257;3,01434;
Free mechanics group 2;4,364852454849227;4,34204;4,38766;4,33768;4,39203;
Labour costs;46400
Number of replications;1000
