Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,25372;156,12351;156,38393;156,09857;156,40887;
Customers departed;156,25336;156,12315;156,38357;156,09822;156,4085;
Customers in system;16,908526502883007;16,89425;16,9228;16,89152;16,92553;
Time in system;51,94233618106005;51,93483;51,94985;51,93339;51,95128;
Customers in system at the end;0,00036;0,00016;0,00056;0,00012;0,0006;
Customers in check in queue;0,38480345799988286;0,38333;0,38627;0,38305;0,38656;
Time in check in queue;1,1821187093835648;1,17769;1,18654;1,17685;1,18739;
Customers in payment queue;0,35868502707384037;0,35742;0,35995;0,35717;0,3602;
Time in payment in queue;1,1020539045738444;1,09825;1,10586;1,09752;1,10659;
Customers in parking lot;0,02571232971819656;0,02498;0,02644;0,02484;0,02658;
Time in parking lot;0,025394075825024082;0,02467;0,02612;0,02453;0,02626;
Free clerks;90,73063965673614;90,72807;90,73321;90,72758;90,7337;
Free mechanics group 1;82,8699835000005;82,86013;82,87983;82,85825;82,88172;
Free mechanics group 2;91,4914861666668;91,48645;91,49652;91,48549;91,49749;
Labour costs;460000
Number of replications;25000
