Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,25966;156,16811;156,35121;156,15058;156,36874;
Customers departed;155,15992;155,07949;155,24035;155,06408;155,25576;
Customers in system;21,426977409842788;21,39309;21,46086;21,3866;21,46735;
Time in system;65,20005869947802;65,13141;65,26871;65,11826;65,28186;
Customers in system at the end;1,09974;1,0773;1,12218;1,073;1,12648;
Customers in check in queue;4,2199678895601425;4,19562;4,24432;4,19096;4,24898;
Time in check in queue;12,424126023676761;12,35865;12,4896;12,34611;12,50214;
Customers in payment queue;0,13274942789079516;0,13248;0,13302;0,13243;0,13307;
Time in payment in queue;0,4088130429847215;0,40804;0,40959;0,40789;0,40973;
Customers in parking lot;1,0991762115617765;1,09692;1,10144;1,09648;1,10187;
Time in parking lot;2,856323767820726;2,85066;2,86199;2,84957;2,86307;
Free clerks;1,673115985850502;1,67136;1,67487;1,67103;1,6752;
Free mechanics group 1;2,2005610841674703;2,19634;2,20478;2,19554;2,20558;
Free mechanics group 2;1,5584350191700762;1,55497;1,5619;1,55431;1,56256;
Labour costs;36000
Number of replications;50000
