Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,28074;156,21596;156,34552;156,20355;156,35793;
Customers departed;156,01227;155,9498;156,07474;155,93784;156,0867;
Customers in system;20,210027842185557;20,19117;20,22889;20,18756;20,2325;
Time in system;61,681410286597156;61,64624;61,71658;61,6395;61,72332;
Customers in system at the end;0,26847;0,26174;0,2752;0,26045;0,27649;
Customers in check in queue;2,7884138518547377;2,77672;2,80011;2,77448;2,80235;
Time in check in queue;8,241694115371667;8,21029;8,2731;8,20428;8,27911;
Customers in payment queue;0,4736803479071904;0,47298;0,47438;0,47285;0,47451;
Time in payment in queue;1,4541845484922094;1,45214;1,45623;1,45175;1,45662;
Customers in parking lot;0,9664239928190118;0,9644;0,96845;0,96401;0,96883;
Time in parking lot;2,3819122291521477;2,3771;2,38672;2,37618;2,38764;
Free clerks;2,6072773021119584;2,60601;2,60854;2,60577;2,60879;
Free mechanics group 1;2,8135164787163736;2,81045;2,81658;2,80987;2,81716;
Free mechanics group 2;1,86189084914685;1,85929;1,86449;1,8588;1,86499;
Labour costs;38600
Number of replications;100000
