Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,743;192,99002;194,49598;192,84584;194,64016;
Customers departed;193,317;192,56516;194,06884;192,4212;194,2128;
Customers in system;24,29700596545301;24,08241;24,5116;24,04132;24,5527;
Time in system;59,87990841486549;59,53513;60,22469;59,46911;60,29071;
Customers in system at the end;0,426;0,2726;0,5794;0,24322;0,60878;
Customers in check in queue;3,0654387550030053;2,9184;3,21247;2,89025;3,24063;
Time in check in queue;7,328776743286911;7,00048;7,65707;6,93761;7,71994;
Customers in payment queue;0,472866065196281;0,46567;0,48006;0,46429;0,48144;
Time in payment in queue;1,1733252180219065;1,15597;1,19068;1,15265;1,194;
Customers in parking lot;0,9294133381357929;0,90981;0,94902;0,90605;0,95277;
Time in parking lot;1,806736445169103;1,7672;1,84627;1,75963;1,85384;
Free clerks;8,44831009681834;8,43339;8,46323;8,43054;8,46608;
Free mechanics group 1;2,7524090200701274;2,72688;2,77794;2,72199;2,78283;
Free mechanics group 2;3,4710852177375537;3,42698;3,51519;3,41853;3,52364;
Labour costs;56300
Number of replications;1000
