Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,249;192,55224;193,94576;192,41882;194,07918;
Customers departed;157,256;157,08466;157,42734;157,05185;157,46015;
Customers in system;43,46682225626753;43,06372;43,86993;42,98653;43,94712;
Time in system;105,68541958144584;105,02621;106,34463;104,89997;106,47087;
Customers in system at the end;35,993;35,31439;36,67161;35,18444;36,80156;
Customers in check in queue;23,504738384162124;23,11035;23,89913;23,03482;23,97465;
Time in check in queue;54,64460716081009;53,93315;55,35607;53,79691;55,49231;
Customers in payment queue;0,37471278476230907;0,37025;0,37918;0,36939;0,38003;
Time in payment in queue;1,1383203812580198;1,12468;1,15196;1,12206;1,15458;
Customers in parking lot;2,337742890540188;2,32853;2,34695;2,32677;2,34872;
Time in parking lot;6,382721143981013;6,35822;6,40722;6,35353;6,41191;
Free clerks;6,040963721726702;6,03654;6,04539;6,03569;6,04623;
Free mechanics group 1;0,7147934560234271;0,70656;0,72303;0,70498;0,72461;
Free mechanics group 2;0,3668124143401673;0,36195;0,37167;0,36102;0,37261;
Labour costs;37500
Number of replications;1000
