Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,428;192,70609;194,14991;192,56785;194,28815;
Customers departed;193,319;192,6085;194,0295;192,47245;194,16555;
Customers in system;23,915551595468283;23,71887;24,11223;23,68121;24,14989;
Time in system;59,06684058305082;58,77391;59,35977;58,71782;59,41586;
Customers in system at the end;0,109;0,07031;0,14769;0,0629;0,1551;
Customers in check in queue;2,756310779959706;2,63648;2,87615;2,61353;2,89909;
Time in check in queue;6,600349835550611;6,33847;6,86223;6,28833;6,91237;
Customers in payment queue;0,48076124637774764;0,47394;0,48758;0,47263;0,48889;
Time in payment in queue;1,194152511901017;1,17754;1,21077;1,17436;1,21395;
Customers in parking lot;0,8726462330101967;0,85339;0,8919;0,8497;0,89559;
Time in parking lot;1,6753861014210814;1,63928;1,71149;1,63237;1,7184;
Free clerks;7,51376361976924;7,49955;7,52797;7,49683;7,53069;
Free mechanics group 1;2,792626162681967;2,76877;2,81648;2,7642;2,82105;
Free mechanics group 2;3,4549878551081084;3,41557;3,49441;3,40802;3,50195;
Labour costs;55200
Number of replications;1000
