Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,22646;156,13482;156,3181;156,11727;156,33565;
Customers departed;156,08602;155,99619;156,17585;155,97899;156,19305;
Customers in system;19,51247348837731;19,48726;19,53769;19,48243;19,54252;
Time in system;59,59580345513093;59,54916;59,64245;59,54023;59,65138;
Customers in system at the end;0,14044;0,1342;0,14668;0,13301;0,14787;
Customers in check in queue;2,6237324469405663;2,60785;2,63961;2,60481;2,64265;
Time in check in queue;7,750626847005728;7,70786;7,7934;7,69967;7,80159;
Customers in payment queue;0,16514861082544816;0,1648;0,1655;0,16473;0,16556;
Time in payment in queue;0,5038806939910601;0,50295;0,50481;0,50277;0,50499;
Customers in parking lot;0,726123807895843;0,72417;0,72808;0,72379;0,72846;
Time in parking lot;1,7236490274348433;1,71908;1,72821;1,71821;1,72909;
Free clerks;1,6699708278972407;1,66817;1,67177;1,66783;1,67212;
Free mechanics group 1;3,479056379146611;3,47473;3,48339;3,4739;3,48422;
Free mechanics group 2;2,136629664728753;2,13285;2,14041;2,13212;2,14114;
Labour costs;39000
Number of replications;50000
