Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,43438;193,33223;193,53653;193,31267;193,55609;
Customers departed;178,32022;178,28027;178,36017;178,27262;178,36782;
Customers in system;35,148521200825435;35,09474;35,2023;35,08444;35,2126;
Time in system;86,0003269471857;85,90825;86,0924;85,89062;86,11003;
Customers in system at the end;15,11416;15,02887;15,19945;15,01254;15,21578;
Customers in check in queue;14,488770512696142;14,44019;14,53735;14,43089;14,54665;
Time in check in queue;34,82794926074012;34,72786;34,92804;34,70869;34,94721;
Customers in payment queue;0,19543797070938349;0,19515;0,19573;0,19509;0,19578;
Time in payment in queue;0,523285162882973;0,52252;0,52405;0,52238;0,52419;
Customers in parking lot;1,285012775085634;1,28373;1,2863;1,28348;1,28654;
Time in parking lot;3,0978990867933933;3,09491;3,10089;3,09434;3,10146;
Free clerks;1,0459260888587474;1,04452;1,04733;1,04426;1,0476;
Free mechanics group 1;1,35528033973514;1,35235;1,35821;1,35179;1,35877;
Free mechanics group 2;0,8701528801455688;0,86832;0,87199;0,86797;0,87234;
Labour costs;37500
Number of replications;50000
