Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,38772;193,28563;193,48981;193,26608;193,50936;
Customers departed;190,10286;190,0266;190,17912;190,012;190,19372;
Customers in system;28,726549045951316;28,68314;28,76996;28,67482;28,77827;
Time in system;70,60051063456125;70,52758;70,67344;70,51362;70,6874;
Customers in system at the end;3,28486;3,242;3,32772;3,23379;3,33593;
Customers in check in queue;7,046526441956221;7,01325;7,0798;7,00688;7,08617;
Time in check in queue;16,913808626478698;16,84134;16,98628;16,82746;17,00016;
Customers in payment queue;0,5136788169351616;0,51278;0,51458;0,51261;0,51475;
Time in payment in queue;1,2941417017873411;1,29192;1,29636;1,2915;1,29679;
Customers in parking lot;1,4190519216345014;1,41656;1,42154;1,41608;1,42202;
Time in parking lot;3,1235894887820717;3,11838;3,1288;3,11738;3,1298;
Free clerks;3,7785539452269674;3,77668;3,78043;3,77632;3,78079;
Free mechanics group 1;2,101776193709519;2,09717;2,10638;2,09629;2,10727;
Free mechanics group 2;1,4120205817396214;1,4087;1,41534;1,40807;1,41597;
Labour costs;44300
Number of replications;50000
