Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,18744;156,09575;156,27913;156,07819;156,29669;
Customers departed;155,00242;154,92224;155,0826;154,90689;155,09795;
Customers in system;21,503746206520415;21,46973;21,53776;21,46322;21,54428;
Time in system;65,45285351015073;65,3839;65,52181;65,37069;65,53501;
Customers in system at the end;1,18502;1,16197;1,20807;1,15756;1,21248;
Customers in check in queue;4,265641008120908;4,2412;4,29008;4,23652;4,29476;
Time in check in queue;12,566312919991551;12,50054;12,63208;12,48795;12,64468;
Customers in payment queue;0,13139656673070435;0,13113;0,13167;0,13108;0,13172;
Time in payment in queue;0,4050155159430618;0,40424;0,40579;0,4041;0,40594;
Customers in parking lot;1,144192483454632;1,14184;1,14655;1,14139;1,147;
Time in parking lot;2,9913281660833606;2,98538;2,99727;2,98425;2,99841;
Free clerks;1,6751571144112727;1,6734;1,67691;1,67307;1,67725;
Free mechanics group 1;2,4719386374626913;2,46723;2,47664;2,46633;2,47755;
Free mechanics group 2;1,296290864833035;1,29329;1,29929;1,29272;1,29987;
Labour costs;35500
Number of replications;50000
