Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,2591;156,19421;156,32399;156,18178;156,33642;
Customers departed;155,38135;155,32292;155,43978;155,31173;155,45097;
Customers in system;21,39617479685267;21,37355;21,4188;21,36922;21,42313;
Time in system;65,16930661039284;65,12469;65,21392;65,11615;65,22246;
Customers in system at the end;0,87775;0,8639;0,8916;0,86125;0,89425;
Customers in check in queue;3,7676644876585663;3,75227;3,78306;3,74933;3,786;
Time in check in queue;11,107865419573965;11,06659;11,14914;11,05869;11,15704;
Customers in payment queue;0,46169527945500427;0,46105;0,46234;0,46093;0,46247;
Time in payment in queue;1,4234649283967735;1,42155;1,42538;1,42118;1,42575;
Customers in parking lot;1,2034087669630114;1,20129;1,20552;1,20089;1,20593;
Time in parking lot;3,104326837938014;3,09911;3,10954;3,09811;3,11054;
Free clerks;2,6102345378953675;2,60899;2,61148;2,60875;2,61172;
Free mechanics group 1;2,186965681479599;2,18395;2,18998;2,18337;2,19056;
Free mechanics group 2;1,5657185851542956;1,56324;1,5682;1,56276;1,56867;
Labour costs;37100
Number of replications;100000
