Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,3089;156,21771;156,40009;156,20024;156,41756;
Customers departed;141,062;140,97529;141,14871;140,95868;141,16532;
Customers in system;21,88226414740156;21,86553;21,89899;21,86233;21,9022;
Time in system;51,02003380175651;51,0144;51,02567;51,01332;51,02674;
Customers in system at the end;15,2469;15,21798;15,27582;15,21244;15,28136;
Customers in check in queue;4,125093369698102;4,11236;4,13783;4,10992;4,14027;
Time in check in queue;1,2946114278538248;1,29065;1,29857;1,2899;1,29933;
Customers in payment queue;0,3596387936530693;0,35873;0,36055;0,35856;0,36072;
Time in payment in queue;1,2234576038564011;1,22046;1,22646;1,21988;1,22703;
Customers in parking lot;0,6872854879046775;0,68481;0,68977;0,68433;0,69024;
Time in parking lot;0,023265725659384166;0,02276;0,02377;0,02267;0,02387;
Free clerks;50,339126106334284;50,33699;50,34126;50,33658;50,34167;
Free mechanics group 1;43,08023470953983;43,0732;43,08727;43,07185;43,08862;
Free mechanics group 2;25,03345988031268;25,02915;25,03777;25,02833;25,03859;
Labour costs;460000
Number of replications;50000
