Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,778;193,06775;194,48825;192,93174;194,62426;
Customers departed;131,417;131,26048;131,57352;131,23051;131,60349;
Customers in system;54,1008634104601;53,67664;54,52509;53,59541;54,60632;
Time in system;129,9288642246552;129,27436;130,58337;129,14903;130,7087;
Customers in system at the end;62,361;61,66195;63,06005;61,52809;63,19391;
Customers in check in queue;38,927485193857784;38,50474;39,35023;38,42379;39,43118;
Time in check in queue;87,27257197388552;86,57463;87,97052;86,44098;88,10417;
Customers in payment queue;0,6117136093789044;0,60829;0,61514;0,60763;0,6158;
Time in payment in queue;2,214154180636872;2,20186;2,22645;2,1995;2,22881;
Customers in parking lot;0,2704561897698093;0,26549;0,27542;0,26454;0,27637;
Time in parking lot;0,3010684889122843;0,29545;0,30668;0,29438;0,30776;
Free clerks;0,04159028267212304;0,03975;0,04343;0,0394;0,04378;
Free mechanics group 1;3,650842131342799;3,63522;3,66646;3,63223;3,66945;
Free mechanics group 2;7,149709703209126;7,13055;7,16887;7,12688;7,17254;
Labour costs;45300
Number of replications;1000
