Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;194,193;193,48768;194,89832;193,35262;195,03338;
Customers departed;181,068;180,76089;181,37511;180,70209;181,43391;
Customers in system;34,147793931966284;33,78883;34,50676;33,72009;34,5755;
Time in system;83,19246024088672;82,58516;83,79976;82,46887;83,91605;
Customers in system at the end;13,125;12,57327;13,67673;12,46762;13,78238;
Customers in check in queue;12,447676238872551;12,13399;12,76136;12,07392;12,82143;
Time in check in queue;29,814488321306154;29,1594;30,46957;29,03396;30,59502;
Customers in payment queue;0,4366271113019529;0,43108;0,44217;0,43002;0,44323;
Time in payment in queue;1,1522721983829103;1,13776;1,16678;1,13498;1,16956;
Customers in parking lot;1,9029114287205926;1,88918;1,91664;1,88655;1,91927;
Time in parking lot;4,5291647886576465;4,49872;4,55961;4,49288;4,56544;
Free clerks;5,695544179075829;5,6851;5,70599;5,68309;5,70799;
Free mechanics group 1;1,3989309103687244;1,37443;1,42343;1,36974;1,42812;
Free mechanics group 2;0,6540664435209935;0,64266;0,66547;0,64048;0,66765;
Labour costs;42500
Number of replications;1000
