Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,30266;156,238;156,36732;156,22561;156,37971;
Customers departed;155,33341;155,27563;155,39119;155,26457;155,40225;
Customers in system;21,482637978158323;21,45995;21,50533;21,4556;21,50967;
Time in system;65,40903941629472;65,36424;65,45384;65,35567;65,46241;
Customers in system at the end;0,96925;0,95477;0,98373;0,95199;0,98651;
Customers in check in queue;3,81105821678473;3,79556;3,82656;3,79259;3,82953;
Time in check in queue;11,236906699969165;11,19536;11,27846;11,1874;11,28641;
Customers in payment queue;0,4618393110264655;0,4612;0,46248;0,46107;0,46261;
Time in payment in queue;1,4242358030513471;1,42233;1,42614;1,42196;1,42651;
Customers in parking lot;1,2452984269784457;1,24315;1,24744;1,24274;1,24785;
Time in parking lot;3,232899497713005;3,22758;3,23822;3,22656;3,23924;
Free clerks;2,6096411814078175;2,6084;2,61088;2,60816;2,61112;
Free mechanics group 1;2,451389861820799;2,44804;2,45474;2,4474;2,45538;
Free mechanics group 2;1,300936122490251;1,2988;1,30307;1,2984;1,30348;
Labour costs;36600
Number of replications;100000
