Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,581;192,86452;194,29748;192,72732;194,43468;
Customers departed;193,486;192,77885;194,19315;192,64344;194,32856;
Customers in system;24,009124601666382;23,81861;24,19964;23,78213;24,23612;
Time in system;59,26640762502683;58,98077;59,55205;58,92607;59,60674;
Customers in system at the end;0,095;0,05851;0,13149;0,05153;0,13847;
Customers in check in queue;2,8189489960096994;2,70449;2,9334;2,68258;2,95532;
Time in check in queue;6,765880649325362;6,5117;7,02006;6,46303;7,06873;
Customers in payment queue;0,4632093361782901;0,4563;0,47012;0,45498;0,47144;
Time in payment in queue;1,1486604734341384;1,13197;1,16535;1,12878;1,16854;
Customers in parking lot;0,8951213224797481;0,87635;0,91389;0,87275;0,91749;
Time in parking lot;1,7276740242630486;1,69239;1,76296;1,68563;1,76971;
Free clerks;9,383437636218122;9,36946;9,39741;9,36678;9,40009;
Free mechanics group 1;2,7786042936797246;2,75536;2,80185;2,7509;2,8063;
Free mechanics group 2;3,446999270146597;3,40699;3,48701;3,39933;3,49467;
Labour costs;57400
Number of replications;1000
