Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,24655;156,18176;156,31134;156,16936;156,32374;
Customers departed;155,98663;155,92415;156,04911;155,91218;156,06108;
Customers in system;20,007184357009645;19,98849;20,02588;19,98491;20,02946;
Time in system;61,0756240051301;61,04082;61,11043;61,03416;61,11709;
Customers in system at the end;0,25992;0,25315;0,26669;0,25185;0,26799;
Customers in check in queue;2,5764164714715374;2,56499;2,58785;2,5628;2,59003;
Time in check in queue;7,600683740637793;7,56998;7,63139;7,5641;7,63727;
Customers in payment queue;0,42798035947317653;0,42732;0,42864;0,42719;0,42877;
Time in payment in queue;1,3152926243968703;1,31333;1,31725;1,31296;1,31763;
Customers in parking lot;1,0377012489998825;1,03551;1,03989;1,03509;1,04031;
Time in parking lot;2,553554013203372;2,54835;2,55875;2,54736;2,55975;
Free clerks;3,545409358954351;3,54414;3,54667;3,5439;3,54692;
Free mechanics group 1;2,8164645540575286;2,81341;2,81952;2,81282;2,82011;
Free mechanics group 2;1,860993112612933;1,85839;1,8636;1,85789;1,86409;
Labour costs;39700
Number of replications;100000
