Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,257;192,5417;193,9723;192,40473;194,10927;
Customers departed;193,173;192,46561;193,88039;192,33015;194,01585;
Customers in system;23,98036122169392;23,79075;24,16998;23,75444;24,20629;
Time in system;59,28958814659593;59,00957;59,5696;58,95595;59,62322;
Customers in system at the end;0,084;0,04624;0,12176;0,03901;0,12899;
Customers in check in queue;2,8198682346707904;2,70697;2,93277;2,68535;2,95439;
Time in check in queue;6,774093098210951;6,52377;7,02441;6,47584;7,07235;
Customers in payment queue;0,4949257872292687;0,48775;0,5021;0,48638;0,50347;
Time in payment in queue;1,2297621378742285;1,21235;1,24718;1,20901;1,25051;
Customers in parking lot;0,8529504103905896;0,8344;0,8715;0,83084;0,87506;
Time in parking lot;1,6487944268022616;1,61326;1,68433;1,60646;1,69113;
Free clerks;5,643300952427957;5,62922;5,65739;5,62652;5,66008;
Free mechanics group 1;2,7919170305265775;2,76765;2,81618;2,763;2,82083;
Free mechanics group 2;3,4529638610952675;3,4146;3,49133;3,40725;3,49868;
Labour costs;53000
Number of replications;1000
