Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,933;193,21205;194,65395;193,074;194,792;
Customers departed;193,809;193,10062;194,51738;192,96497;194,65303;
Customers in system;24,1473778293754;23,94764;24,34712;23,90939;24,38536;
Time in system;59,48022062813167;59,1791;59,78134;59,12144;59,839;
Customers in system at the end;0,124;0,08064;0,16736;0,07234;0,17566;
Customers in check in queue;2,9280753568116777;2,80365;3,0525;2,77983;3,07632;
Time in check in queue;7,003138143795239;6,73025;7,27603;6,67799;7,32829;
Customers in payment queue;0,4789810194358007;0,4719;0,48606;0,47054;0,48742;
Time in payment in queue;1,1862690205392796;1,16907;1,20347;1,16577;1,20677;
Customers in parking lot;0,8840836132710789;0,86509;0,90308;0,86145;0,90671;
Time in parking lot;1,6978609641517641;1,66236;1,73336;1,65556;1,74016;
Free clerks;6,56888264695653;6,5546;6,58316;6,55187;6,5859;
Free mechanics group 1;2,769786715767863;2,74652;2,79305;2,74206;2,79751;
Free mechanics group 2;3,434114327932564;3,39465;3,47358;3,38709;3,48114;
Labour costs;54100
Number of replications;1000
