Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,62;192,90702;194,33298;192,77049;194,46951;
Customers departed;193,304;192,59847;194,00953;192,46336;194,14464;
Customers in system;24,25398050644652;24,0454;24,46256;24,00546;24,5025;
Time in system;59,83015959197997;59,49446;60,16586;59,43018;60,23014;
Customers in system at the end;0,316;0,19928;0,43272;0,17693;0,45507;
Customers in check in queue;3,0372340787831837;2,89839;3,17607;2,87181;3,20266;
Time in check in queue;7,279657721081712;6,96801;7,5913;6,90833;7,65098;
Customers in payment queue;0,4628283674863973;0,4559;0,46976;0,45457;0,47109;
Time in payment in queue;1,148608216046956;1,13183;1,16539;1,12862;1,1686;
Customers in parking lot;0,9250054297528392;0,90517;0,94484;0,90137;0,94864;
Time in parking lot;1,7919334630614951;1,75286;1,83101;1,74538;1,83849;
Free clerks;10,322403768956205;10,30833;10,33648;10,30563;10,33918;
Free mechanics group 1;2,7451528818862676;2,72021;2,77009;2,71544;2,77487;
Free mechanics group 2;3,477410172757629;3,43618;3,51864;3,42828;3,52654;
Labour costs;58500
Number of replications;1000
