Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,845;193,12371;194,56629;192,98559;194,70441;
Customers departed;131,212;131,05162;131,37238;131,02091;131,40309;
Customers in system;54,34262995531746;53,90827;54,77699;53,82509;54,86017;
Time in system;130,41843481018816;129,76334;131,07353;129,6379;131,19897;
Customers in system at the end;62,633;61,91902;63,34698;61,78231;63,48369;
Customers in check in queue;39,180993009978145;38,74736;39,61462;38,66433;39,69766;
Time in check in queue;87,81094424321127;87,10759;88,5143;86,97291;88,64898;
Customers in payment queue;0,6097728392931352;0,60644;0,61311;0,6058;0,61375;
Time in payment in queue;2,212216532349498;2,2;2,22443;2,19766;2,22677;
Customers in parking lot;0,2753044840242368;0,27036;0,28025;0,26941;0,2812;
Time in parking lot;0,3051360840684139;0,29969;0,31058;0,29864;0,31163;
Free clerks;0,04103795330653567;0,03916;0,04292;0,0388;0,04328;
Free mechanics group 1;3,6494488988797973;3,63466;3,66424;3,63183;3,66707;
Free mechanics group 2;7,162629021450177;7,14396;7,1813;7,14039;7,18487;
Labour costs;45300
Number of replications;1000
