Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,27934;156,21457;156,34411;156,20216;156,35652;
Customers departed;156,20403;156,13991;156,26815;156,12763;156,28043;
Customers in system;19,184228694743645;19,16871;19,19975;19,16573;19,20272;
Time in system;58,65446535014741;58,62767;58,68126;58,62254;58,68639;
Customers in system at the end;0,07531;0,07238;0,07824;0,07182;0,0788;
Customers in check in queue;1,9403774384893442;1,93192;1,94884;1,9303;1,95046;
Time in check in queue;5,750197034278824;5,72737;5,77302;5,723;5,77739;
Customers in payment queue;0,4336043557112522;0,43291;0,4343;0,43277;0,43444;
Time in payment in queue;1,3299866039199941;1,32793;1,33204;1,32754;1,33244;
Customers in parking lot;0,8343349618441904;0,83231;0,83636;0,83192;0,83675;
Time in parking lot;1,9527182059422037;1,94812;1,95731;1,94724;1,95819;
Free clerks;3,544036252078805;3,54276;3,54531;3,54252;3,54555;
Free mechanics group 1;3,460491823167717;3,45743;3,46355;3,45685;3,46414;
Free mechanics group 2;2,150056683693535;2,14736;2,15275;2,14685;2,15327;
Labour costs;41200
Number of replications;100000
